rank,subscribers,total_customers,conversion_rate_%,cumulative_subscribers,cumulative_gains_%,lift
1,1104,1117,0.9883616830796778,1104,0.20873511060692002,2.0858561366109587
2,1085,1116,0.9722222222222222,2189,0.4138778597088296,2.068833260219416
3,1058,1116,0.9480286738351255,3247,0.6139156740404613,2.0461411626275394
4,952,1116,0.8530465949820788,4199,0.7939118926072982,1.9846908276108988
5,689,1116,0.6173835125448028,4888,0.9241822650784648,1.8483645301569296
6,325,1116,0.29121863799283154,5213,0.9856305539799584,1.6427666482789751
7,58,1116,0.05197132616487455,5271,0.996596710153148,1.4237824751989554
8,17,1116,0.015232974910394265,5288,0.9998109283418416,1.2498476405142387
9,1,1116,0.0008960573476702509,5289,1.0,1.1111996017919363
10,0,1117,0.0,5289,1.0,1.0
